1.33167	-1.0974	1.46326	
0.0788672	-0.807504	0.432178	

1.39032	-0.956126	1.33606	
0.0785137	-0.80729	0.437598	

1.27879	-1.20318	1.5598	
0.0800393	-0.807299	0.428397	

1.298	-1.15339	1.50185	
-0.0040262	-0.811448	0.430443	

1.2637	-1.1697	1.47129	
0.177254	-0.785621	0.433484	

1.3172	-1.06324	1.37042	
0.17661	-0.785836	0.436891	

1.20589	-1.12996	1.46215	
0.163589	-0.715508	0.398174	

1.2336	-1.15195	1.37275	
0.0817961	-0.737669	0.393132	

1.40465	-1.18662	1.33322	
0.0278714	-0.76503	0.394913	

1.33714	-1.30351	1.45866	
0.0480313	-0.793786	0.390295	

1.44758	-1.08236	1.27834	
0.0471804	-0.794507	0.398088	

1.34205	-1.1394	1.42267	
0.0346915	-0.729616	0.376853	

1.26206	-1.29265	1.55438	
0.0360512	-0.729457	0.371006	

1.25909	-1.20216	1.35745	
-0.0407074	-0.729424	0.376284	

1.24076	-1.16199	1.38935	
-0.0741055	-0.70602	0.349288
