-0.318834,-0.375336,0.424053,1.09884,-1.01222,1.50641,
-0.31922,-0.371486,0.423679,1.39073,-0.860341,1.66184,
-0.319832,-0.371682,0.423559,1.16156,-1.04707,1.47767,
-0.315979,-0.377901,0.425237,1.2885,-0.775511,1.74878,
-0.317623,-0.37381,0.423627,1.32356,-1.07124,1.47964,
-0.318124,-0.372435,0.423208,1.29606,-1.06741,1.48617,
-0.321646,-0.36607,0.423453,1.27979,-0.898763,1.62495,
-0.320227,-0.371302,0.423602,1.40259,-1.03787,1.51317,
-0.320385,-0.368585,0.423439,1.35904,-0.877308,1.64609,
-0.318184,-0.372052,0.423942,1.40466,-1.09095,1.45785,
-0.320677,-0.366417,0.423587,1.32037,-0.83597,1.69107,
-0.321775,-0.365184,0.423733,1.19863,-1.03172,1.5105,
-0.318267,-0.371868,0.424032,1.41728,-1.10429,1.44411,
-0.31795,-0.373154,0.425441,1.32747,-1.07466,1.47698,
-0.318748,-0.37075,0.424723,1.32637,-1.06853,1.48861,
-0.321687,-0.365923,0.423437,1.27562,-0.899371,1.62377,
-0.319425,-0.374052,0.423766,1.35279,-1.06253,1.48271,
-0.321657,-0.370166,0.423552,1.36579,-0.861368,1.66484,
-0.321501,-0.373767,0.423207,1.28421,-1.05942,1.49332,
-0.321667,-0.373303,0.42309,1.27864,-1.05804,1.49531,
-0.321522,-0.373731,0.423,1.24695,-1.04421,1.5093,
-0.321377,-0.385734,0.421154,1.42678,-0.99612,1.56055,
-0.319103,-0.40749,0.417744,1.21974,-0.864091,1.68808,
-0.317741,-0.41035,0.414369,1.26201,-0.87466,1.67873,
-0.317543,-0.414954,0.413534,1.40892,-0.989921,1.57246,
-0.319213,-0.415026,0.412496,1.2898,-0.955483,1.60857,
-0.318624,-0.419593,0.413271,1.26715,-0.858481,1.70226,
-0.319877,-0.417865,0.412747,1.45994,-0.955084,1.61083,
-0.319711,-0.420565,0.412617,1.37252,-1.09035,1.48911,
-0.322579,-0.417063,0.413843,1.29684,-1.03018,1.54722,
-0.325512,-0.42195,0.412243,1.19757,-0.964493,1.60732,
-0.322983,-0.423429,0.409306,1.29903,-1.00705,1.57789,
-0.321563,-0.42825,0.408726,1.33154,-1.08825,1.50855,
-0.320242,-0.431924,0.407523,1.32665,-1.10459,1.49024,
-0.320074,-0.431558,0.40701,1.33711,-1.09598,1.4972,
-0.320437,-0.43265,0.404161,1.32699,-1.05948,1.52802,
-0.322165,-0.431399,0.403695,1.30642,-1.0464,1.5443,
-0.321801,-0.433123,0.404019,1.32602,-1.06554,1.52815,
-0.321916,-0.431379,0.404253,1.35757,-1.07944,1.51679,
-0.323338,-0.430396,0.406187,1.32245,-1.06588,1.53222,
-0.327015,-0.433415,0.406827,1.31962,-1.07286,1.53534,
-0.328477,-0.436296,0.403471,1.30983,-1.06006,1.55993,
-0.327526,-0.440261,0.401755,1.34867,-1.10658,1.51912,
-0.328628,-0.435337,0.40247,1.32141,-1.05316,1.56226,
